Key	English	Nepali	Need Change
label_growth_of_child	Growth of child	बच्चाको विकास	
label_pregnancy_healthy 	Making Pregnancy Healthy and Happy	गर्भावस्था स्वास्थ्य र खुसी बनाउन	
label_fill_now	Fill Now	अहिले भर्नुहोस्	
label_later	Later	पछि	
label_next	Next	अर्को	
label_siren	Siren	साइरन	
label_search	Search	खोज्नुहोस्	
label_close	Close	बन्द गर्नुहोस्	
label_yes	Yes	हो	
label_no	No	होइन	
label_continue	Continue	जारी राख्नुहोस्	
label_submit	Submit	बुझाउनुहोस्	
label_emergency_siren	Emergency Siren	आपतकालीन साइरन	
label_report	Report	रिपोर्ट	
label_skip	Skip	छोड्नुहोस्	
label_prepare_pregnancy	Preparing for pregnancy	गर्भवतीको लागि तयारी गर्दै	
label_info	Info	जानकारी	
label_ask_call	Do you want to call for counseling?	के तपाइँ परामर्शको लागि कल गर्न चाहनुहुन्छ?	
label_for_pregnancy_counsleing	For Pregnancy-Related Counseling	गर्भावस्था-सम्बन्धित परामर्शको लागि	
label_ask_message	Do you want to send a message?	तपाईं हामीलाई मेसेज पठाउन चाहनुहुन्छ?	
label_for_pregnancy_probelm	For Pregnancy-Related problems,	गर्भावस्था सम्बन्धी समस्याहरूको लागि,	
label_click_message	click here to send a message	हामीलाई मेसेज पठाउनको लागि यहाँ क्लिक गर्नुहोस्	
label_no_audio_found	No Audio Found!!	कुनै अडियो भेटिएन !!	
label_click_call	click here to call	कल गर्न यहाँ क्लिक गर्नुहोस्	
label_expected_date	Expected Delivery Date	प्रसवको अनुमानित मिति	प्रसवको अनुमानित मिति
label_remaining_date	Remaining Days	बाँकी दिनहरू	
label_week	Weeks	हप्ता	
label_day	Days	दिन	
