Key	English	Nepali
msg_audio_fetch_success	Audio Successfully fetched	अडियो सफलतापूर्वक ल्याइयो
label_other_week_audio	Other Week Audio	अर्को हप्ताको अडियो
label_this_week_audio	This Week Audio	यो हप्ताको अडियो
msg_video_fetch_success	Videos successfully refreshed	भिडियोहरू सफलतापूर्वक रिफ्रेस भयो
label_this_week_tips	This week tips	यो हप्ताको सुझावहरू
msg_no_tips_found	No Tips Found!	कुनै सुझाव भेटिएन!
label_other_week_tips	Other week tips	अन्य हप्ताको सुझावहरू
msg_tips_fetch_success	Weekly Tips Successfully Refreshed	साप्ताहिक सुझावहरू सफलतापूर्वक ताजा भयो
msg_faqs_refresh_success	FAQs refreshed successfully	FAQs सफलतापूर्वक रिफ्रेस भयो
msg_refresh_success	Successfully Refreshed	सफलतापूर्वक रिफ्रेस भयो
