Key	English	Nepali
home	Home	होम
profile	Profile	व्यक्तिगत विवरण
symptom_assessment	Symptom Assessment	लक्षण मूल्याङ्कन
qr_code	QR Code	QR कोड
anc	ANC	ए एन सी 
delivery	Delivery	प्रशुती सम्बन्धी विवरण
medication	Medication	खोप, चक्की र रगत दिएको विवरण
postnatal_care	Postnatal Care	सुत्केरी जाँचको विवरण
lab_test	Lab Test	प्रयोगशाला परीक्षण
faqs	FAQs 	बारम्बार सोधिने प्रश्नहरू
audio	Audio	अडियो
video	Video	भिडियो
weekly_tips	Weekly Tips	साप्ताहिक सुझावहरू
card	Card	कार्ड
health_reports	Health Reports	स्वास्थ्य रिपोर्टहरू
pnc	PNC	पि एन सी
antenatal_care	Antenatal Care	गर्भवती परीक्षण विवरण
